#رقم	الكلمة	غير مشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنثه	مذكره	عدد	الجمع	مفرده	تأنيث	تثنية	ج. مؤ.س.	ج, مذ, س,	منقوص	تنوين نصب	نسب	إض, لف,	ـو	نكرة	معرف	غ. عاقل	عاقل	تنون النصب للجمع	شرح
1326	إنجاب		نجب		مصدر	أنجب		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إنجاب-إنجاب [ن ج ب] (مص. أنجب). ""إنجاب ولد"" : ولادته."
1327	انجبار		جبر		مصدر	انجبر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انجبار-انجبار [ج ب ر] (مص. انجبر). ""انجبار عظم مكسور"" : التئامه."
1328	إنجاح		نجح		مصدر	أنجح		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إنجاح-إنجاح [ن ج ح] (مص. أنجح). 1. ""إنجاح الرجل"": صيره ذا نجاح. 2.""إنجاح الحاجة"" : جعلها مقضية."
1329	إنجاد		نجد		مصدر	أنجد		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إنجاد-إنجاد [ن ج د] (مص. أنجد). ""جاء لإنجاده وهو يصارع الأمواج"" : لمساعدته وإعانته."
1330	انجذاب		جذب		مصدر	انجذب		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انجذاب-انجذاب [ج ذ ب] (مص. انجذب). 1.""الانجذاب في السير"" : الإ"
1331	انحسار		حسر		مصدر	انحسر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انحسار-انحسار [ح س ر] (مص. انحسر). 1.""انحسار الماء عن اليابسة"" : تقلصه، تراجعه. 2.""انحسار البصر"" : ضعفه."
1332	انجرار		جرر		مصدر	انجر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انجرار-انجرار [ج ر ر] (مص. انجر). 1.""انجرار الت"
1333	انجراف		جرف		مصدر	انجرف		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انجراف-انجراف [ج ر ف] (مص. انجرف). ""الان"
1334	إنجاز		نجز		مصدر	أنجز		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"(مص. أنجز). ""قام بإنجاز مهامه"" : إتمامها، إكمالها."
1335	انجلاء		جلي		مصدر	انجلى		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"انجلاء-انجلاء [ج ل ي] (مص. انجلى). 1.""انجلاء الضوء"": انكشافه، ظهوره. ""انجلاء الحقيقة"". 2.""انجلاء الهم عن نفسه"" : تبدده."
1336	انحياز		حوز		مصدر	انحاز		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انحياز-انحياز [ح و ز] (مص. انحاز). 1.""أحكامه لا تعرف انحيازا لأحد"" : محاباة. 2.""الدول العربية من بلدان عدم الانحياز"": المحايدة، غير منحازة لأي معسكر."
1337	انحباس		حبس		مصدر	انحبس		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انحباس-انحباس [ح ب س] (مص. انحبس). ""انحباس المطر"": انقطاعه. ¨ ""وما ر"
1338	انحتات		نحت		مصدر	انحت		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انحتات-انحتات [ن ح ت] (مص. انحت). 1.""انحتات الشعر"": تساقطه. 2.""انحتات ورق الشجر"" : سقوطه متناثرا."
1339	انحدار		حدر		مصدر	انحدر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انحدار-انحدار [ح د ر] (مص. انحدر). 1.""الانحدار من أعلى الجبل"" : التدحرج. 2.""انحدار الدمع"" : سيلانه، انسكابه، سقوطه، جريانه. 3.""انحداره من أسرة شريفة"": انتسابه."
1340	انحراف		حرف		مصدر	انحرف		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انحراف-انحراف [ح ر ف] (مص. انحرف). 1.""انحراف عن الطريق المستقيم"" : الخروج عن جادة الصواب، الابتعاد عنها، والانحراف مصطلح في علم النفس الاجتماعي يعني الخروج عن ما هو مألوف ومتعارف عليه من عادات وسلوك. 2.""انحراف الطائرة أو السفينة"" : حيدانها. 3.""الانحراف"" (جغ) : الميل عن خط الاستواء. ""ينطلق دفعة واحدة حتى لا يمتد في طول ولا عرض ولا مكان للانحراف"". (م.ع. العقاد)."
1341	انخراق		خرق		مصدر	انخرق		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انخراق-انخراق [خ ر ق] (مص. انخرق). 1.""انخراق الحائط"" : انشقا"
1342	انحسام		حسم		مصدر	انحسم		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انحسام-انحسام [ح س م] (مص. انحسم). ""انحسام الأمر"": انتهاؤه، إيجاد حل له. "
1343	انحصار		حصر		مصدر	انحصر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انحصار-انحصار [ح ص ر] (مص. انحصر). ""انحصار القوات"" : انحباسها في مكان ما."
1344	انحطاط		حطط		مصدر	انحط		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انحطاط-انحطاط [ح ط ط] (مص. انحط). 1.""يجب العمل على وقف انحطاط الأخلاق"" : على وقف تدهورها، فسادها. 2.""عصر الانحطاط"" : عصر التقهقر، التدهور والركود وهبوط الحماس والنشاط صناعيا واجتماعيا وفنيا وأدبيا."
1345	انحطام		حطم		مصدر	انحطم		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انحطام-انحطام [ح ط م] (مص. انحطم). 1.""انحطام الكأس"": انكساره. 2.""انحطام الناس على الجزار"" : تزاحمهم عليه."
1346	انحلال		حلل		مصدر	انحل		مذكر			مفرد	+ات			DnN	Pf			Tn	Rp								"انحلال-انحلال [ح ل ل] (مص. انحل). 1. ""انحلال الخيوط"" : انفكاكها. 2.""انحلال الأخلاق"" : فسادها."
1347	انحلاب		حلب		مصدر	انحلب		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انحلاب-انحلاب [ح ل ب] (مص. انحلب). 1.""انحلاب الدمع"" : سيلانه. ""انحلاب العين"". 2.""انحلاب الفم"" : سيلان ريقه."
1348	انحناء		حنو		مصدر	انحنى		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"انحناء-انحناء [ح ن و] (مص. انحنى). 1.""انحناء شجرة"": ميلها، اعوجاجها. 2.""انحناء الرأس"" : طأطأته."
1349	انخداع		خدع		مصدر	انخدع		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انخداع-انخداع [خ د ع] (مص. انخدع). ""انخداع الرجل"": "
1350	انخراط		خرط		مصدر	انخرط		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انخراط-انخراط [خ ر ط] (مص. انخرط). 1.""طلب الانخراط في الحزب"" : الانضمام إليه، الالتحاق"
1351	اندراج		درج		مصدر	اندرج		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اندراج-اندراج [د ر ج] (مص. اندرج). ""اندراجه وسط الجماعة"" : دخوله وسطها."
1352	انخرام		خرم		مصدر	انخرم		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انخرام-انخرام [خ ر م] (مص. انخرم). 1.""انخرام الأيام والشهور"" : انصرامها، انقضاؤها. 2.""انخرا"
1353	انخساف		خسف		مصدر	انخسف		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انخساف-انخساف [خ س ف] (مص. انخسف). ""انخساف الأرض"" : خسوفها، غورها بما عليها."
1354	انخفاض		خفض		مصدر	انخفض		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انخفاض-انخفاض [خ ف ض] (مص. انخفض). 1.""انخفاض الصوت"" : ضعفه، خفوته. 2.""انخفاض الرأس"" : انحناؤه. 3.""انخفاض الأسعار"" : نقص ثمنها."
1355	انخلاع		خلع		مصدر	انخلع		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انخلاع-انخلاع [خ ل ع] (مص. انخلع). ""انخلاع الباب"": زواله عن موضعه."
1356	انخناق		خنق		مصدر	انخنق		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انخناق-انخناق [خ ن ق] (مص. انخنق). ""انخناق الولد"": اختناقه."
1357	إنداب		ندب		مصدر	أندب		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إنداب-إنداب [ن د ب] (مص. أندب). 1.""إنداب الجرح"": بقاء أثره. 2.""كان على أهبة إنداب نفسه"" : المخاطرة بها."
1358	اندباغ		دبغ		مصدر	اندبغ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اندباغ-اندباغ [د ب غ] (مص. اندبغ). ""اندباغ الجلد"" : لينه وزوال الروائح الكريهة منه."
1359	اندثار		دثر		مصدر	اندثر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اندثار-اندثار [د ث ر] (مص. اندثر). 1.""عرفت بيوت القرية اندثارا"" : اختفاء، لم يبق لها أثر. 2.""أحدث الزلزال اندثارا مفجعا لكل مباني المدينة"" : تدميرا، تلاشيا."
1360	اندحار		دحر		مصدر	اندحر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اندحار-اندحار [د ح ر] (مص. اندحر). ""اندحار الجيش"": انهزامه، انكساره."
1361	اندمال		دمل		مصدر	اندمل		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اندمال-اندمال [د م ل] (مص. اندمل). ""اندمال جرح"": التحامه علامة على برئه."
1362	اندراس		درس		مصدر	اندرس		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اندراس-اندراس [د ر س] (مص. اندرس). 1.""اندراس الأثر"": انمحاء بقاياه. 2.""اندراس آخر أخباره"" : انطماسها."
1363	اندساس		دسس		مصدر	اندس		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اندساس-اندساس [د س س] (مص. اندس). 1.""الاندساس في الزحام"" : الدخول فيه. 2.""الاندساس في التبن"" : الاندفان فيه."
1364	اندفاع		دفع		مصدر	اندفع		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اندفاع-اندفاع [د ف ع] (مص. اندفع). 1.""اندفع اندفاعا"": طوعا من تلقاء النفس. 2.""كان اندفاعه شديدا"" : حميته، همته. 3.""لم يتمالك نفسه لحظة الاندفاع"" : الارتماء تلقائيا. 4.""انساق وراء اندفاع عواطفه"" : تحريض، تحريك."
1365	اندفاق		دفق		مصدر	اندفق		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اندفاق-اندفاق [د ف ق] (مص. اندفق). ""اندفاق الماء"": انصبابه."
1366	اندفان		دفن		مصدر	اندفن		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اندفان-اندفان [د ف ن] (مص. اندفن). 1.""اندفان الحوض"": امتلاؤه بالتراب. 2.""اندفان الميت"" : تواريه تحت الـتراب. 3.""اندفان الكنز"" : اختفاؤه تحت التراب."
1367	اندقاق		دقق		مصدر	اندق		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اندقاق-اندقاق [د ق ق] (مص. اندق). ""اندقاق العظم"" : انكساره."
1368	اندلاع		دلع		مصدر	اندلع		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اندلاع-اندلاع [د ل ع] (مص. اندلع). 1.""اندلاع اللسان"": خروجه من الفم واسترخاؤه. 2.""اندلاع النيران"" : اشتعالها."
1369	اندلاق		دلق		مصدر	اندلق		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اندلاق-اندلاق [د ل ق] (مص. اندلق). 1.""اندلاق السيل"": اندفاعه. 2.""اندلاق البطن"" : استرخاؤه. 3.""اندلاق الخيل"": انطلاقها بشدة."
1370	اندماج		دمج		مصدر	اندمج		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اندماج-اندماج [د م ج] (مص. اندمج). 1.""اندماج مدرسة في أخرى"" : إلحاقها لتصبح مدرسة واحدة. ""اندماج المدرستين"". 2.""اندماج البلدين"" : اتحادهما في دولة واحدة."
1371	إيناس		أنس		مصدر	آنس		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إيناس-إيناس [أ ن س] (مص. آنس). 1.""وجد عنده إيناسا"": أي لطفا وكل ما يذهب الوحشة. 2.""إيناس الأمر"" : علمه، التيقن منه."
1372	إنذار		نذر		مصدر	أنذر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إنذار-إنذار [ن ذ ر] (مص. أنذر). 1.""توصل بإنذار من إدارة المدرسة"" : بإشعار به تنبيه على عمل خطير قام به. 2.""جرس الإنذار"" : الإخطار، الإشعار بوقوع أمر ما لأخذ الحيطة والحذر. 3.""ألم تسمع صفارة الإنذار"" : صفارة لها صوت ضخم تشعرك بحدوث شيء خطير، أوحلول مناسبة ما. 4.""وجه له إنذارا أخيرا"" : إشعارا. ""أخرجه دون سابق إنذار""."
1373	انزياح		نزح		مصدر	انزاح		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انزياح-انزياح [ن ز ح] (مص. انزاح). 1.""انزياحه عن الطريق"" : ابتعاده وميله عنه. 2.""الانزياح عن المعنى الحقيقي للكلمة"" : الابتعاد."
1374	انزجار		زجر		مصدر	انزجر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انزجار-انزجار [ز ج ر] (مص. انزجر). 1.""انزجار الخائف"": انقياده. 2.""الانزجار عن فعل المعاصي"" : الامتناع عنها..."
1375	انزعاج		زعج		مصدر	انزعج		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انزعاج-انزعاج [ز ع ج] (مص. انزعج). 1.""كان في حالة انزعاج"": في وضع قلق. 2.""سبب له المرض انزعاجا كبيرا"": تضايقا."
1376	انزعاق		زعق		مصدر	انزعق		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انزعاق-انزعاق [ز ع ق] (مص. انزعق). 1.""انزعاق الولد"": خوفه. 2.""انزعاق الدابة"": إسراعها."
1377	إنزاف		نزف		مصدر	أنزف		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إنزاف-إنزاف [ن ز ف] (مص. أنزف). ""إنزاف البئر"" : إخراج مائها كله. ""إنزاف الدمع""."
1378	إنزال		نزل		مصدر	أنزل		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إنزال-إنزال [ن ز ل] (مص. أنزل). 1.""تعذر إنزال السفينة إلى البحر بسبب ارتفاع الأمواج"" : الدفع بها، تعويمها. 2.""من المفيد إنزال الفريق الرياضي بكامل طاقمه"" : دخول جميع أعضائه إلى الملعب. 3.""تقرر إنزال سعر المواد الغذائية"" : تخفيضها. 4.""إنزال المني"" : إخراجه بجماع أو غيره. 5.""إنزال انتخابي"" : إغراق عملية الاقتراع بأصوات ناخبين غير مسجلين في اللوائح الانتخابية الرسمية."
1379	انزلاق		زلق		مصدر	انزلق		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انزلاق-انزلاق [ز ل ق] (مص. انزلق). 1.""ينبغي الحذر من الانزلاق"" : الانزياح، التزحلق. 2.""أدى الازدحام إلى انزلاق باب قاعة المعرض"" : تداعيه، انجراره، سقوطه."
1380	انزواء		زوي		مصدر	انزوى		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"انزواء-انزواء [ز و ي] (مص. انزوى). 1.""انزواء الرجل في الغرفة"" : جلوسه في زاويتها. 2.""انزواء الرجل عن الجماعة"" ‏: اعتزاله، انقباضه."
1381	انسدال		سدل		مصدر	انسدل		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انسدال-انسدال [س د ل] (مص. انسدل). 1.""انسدال ستائر النوافذ"" : إنزالها. 2.""انسدال الشعر"" : إرساله."
1382	انسياب		سيب		مصدر	انساب		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انسياب-انسياب [س ي ب] (مص. انساب). 1.""انسياب في المشي"": المشي بسرعة. 2.""يلاحظ انسياب الحية في"
1383	انسياق		سوق		مصدر	انساق		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انسياق-انسياق [س و ق] (مص. انساق). 1.""انسياق الماشية في المرعى"": سيرها بالتتابع. 2.""لاحظ انسياقه مع الأهواء"": سيره دون تفكير ولا روية. ""أجاء ذلك عن قصد وتدبر أم جاء عن صدفة وانسياق طبيعي"". (إسحق الحسيني)."
1384	أنس		أنس		مصدر	أنس;أنس;أنس		مذكر			مفرد								Tn	R								"أنس-أنس [أ ن س] (مص. أنس، أنس، أنس). 1.""يشعر بأنس بين أهله"" : بألفة، أي لا يش"
1385	انسباك		سبك		مصدر	انسبك		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انسباك-انسباك [س ب ك] (مص. انسبك). ""انسباك المعدن"" : تذويبه وإفراغه قي قالب."
1386	انستار		ستر		مصدر	انستر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انستار-انستار [س ت ر] (مص. انستر). ""انستار الرجل"" : تغطيته."
1387	انسجام		سجم		مصدر	انسجم		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انسجام-انسجام [س ج م] (مص. انسجم). 1.""تمتاز كتاباته بانسجام الأفكار"" : أي لا تناقض بين أفكارها. 2.""انسجام الت"
1388	انسحاب		سحب		مصدر	انسحب		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انسحاب-انسحاب [س ح ب] (مص. انسحب). ""كان انسحابه من الحفلة في غير محله"" : ان"
1389	انسحاق		سحق		مصدر	انسحق		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انسحاق-انسحاق [س ح ق] (مص. انسحق). 1.""انسحاق القلب"" : انكساره غم"
1390	انسداد		سدد		مصدر	انسد		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انسداد-انسداد [س د د] (مص. انسد). 1.""انسداد الأبواب في وجهه"" : انغلاقها. 2.""انسداد الح"
1391	انسراق		سرق		مصدر	انسرق		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انسراق-انسراق [س ر ق] (مص. انسرق). ""انسراق الصوت"": ضعفه، انخفاضه."
1392	انسطاح		سطح		مصدر	انسطح		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انسطاح-انسطاح [س ط ح] (مص. انسطح). 1.""انسطاح السهل"" : انب"
1393	إنساف		نسف		مصدر	أنسف		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إنساف-إنساف [ن س ف] (مص. أنسف). ""إنساف الريح"": اشتداد هبوبها."
1394	انسفاك		سفك		مصدر	انسفك		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انسفاك-انسفاك [س ف ك] (مص. انسفك). ""انسفاك الدم"": انصبابه."
1395	انسكاب		سكب		مصدر	انسكب		مذكر			مفرد	+ات			DnN	Pf			Tn	R								انسكاب-انسكاب [س ك ب] (مص. انسكب)
1396	انسلال		سلل		مصدر	انسل		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انسلال-انسلال [س ل ل] (مص. انسل). 1.""الانسلال من البيت"" : الخروج منه خفية."
1397	انسلاخ		سلخ		مصدر	انسلخ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انسلاخ-انسلاخ [س ل خ] (مص. انسلخ). 1.""انسلاخ جلد الأفعى"" : تغير جلدها، انكشاطها. 2.""انسلاخ الأيام"" : انصرافها، مرورها."
1398	إنشاء		نشأ		مصدر	أنشأ		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"(مص. أنشأ). 1.""إنشاء أدبي"" : تأليف تعابير لغوية تعبر عن شعور كاتبها. 2.""إنشاء المباني"" : تشييدها. 3.""أشرف على الإنشاءات الجديدة بالمدينة"" : تجهيزات ومؤسسات ومنشآت ثقافية اقتصادية واجتماعية."
1399	إنشاد		نشد		مصدر	أنشد		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إنشاد-إنشاد [ن ش د] (مص. أنشد). ""إنشاد الشعر"": قراءته بصوت مرتفع."
1400	انشراح		شرح		مصدر	انشرح		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انشراح-انشراح [ش ر ح] (مص. انشرح). ""عرف انشراحا في حفلة الأمس"" : سرورا وغبطة. ""لم يعرف كيف يعبر عن انشراحه""."
1401	إنشاط		نشط		مصدر	أنشط		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إنشاط-إنشاط [ن ش ط] (مص. أنشط). ""إنشاط الولد"": جعله نشيطا..."
1402	انشعاب		شعب		مصدر	انشعب		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انشعاب-انشعاب [ش ع ب] (مص. انشعب). ""انشعاب طريق"" : افتراق شعبه."
1403	انشغاف		شغف		مصدر	انشغف		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انشغاف-انشغاف [ش غ ف] (مص. انشغف). ""انشغاف المحب"" : شدة ولعه وحبه الشديد."
1404	انشغال		شغل		مصدر	انشغل		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انشغال-انشغال [ش غ ل] (مص. انشغل). ""انشغال البال"": اضطراب البال قلقا وهما وغما."
1405	انشقاق		شقق		مصدر	انشق		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انشقاق-انشقاق [ش ق ق] (مص. انشق). 1.""ظهر انشقاق في الباب"" : فتحة في خشبها يمكنك أن ترى من خلالها. 2.""انشقاق الجماعة"" : انفصال أفرادها بسبب خلاف في الرأي أو العقيدة. ""حدث انشقاق في الحزب""."
1406	إنشال		نشل		مصدر	أنشل		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إنشال-إنشال [ن ش ل] (مص. أنشل). ""إنشال اللحم من القدر"" : أخذه باليد."
1407	انشلال		شلل		مصدر	انشل		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انشلال-انشلال [ش ل ل] (مص. انشل). ""انشلال السيل"": تدافقه، تدفقه."
1408	انشواء		شوي		مصدر	انشوى		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"انشواء-انشواء [ش و ي] (مص. انشوى). ""انشواء اللحم"": شيه، نضجه."
1409	انصياع		صوع،صيع		مصدر	انصاع		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انصياع-انصياع [ص و ع، ص ي ع] (مص. انصاع). ""الانصياع للحق"" : الخضوع، الامتثال له."
1410	انصباب		صبب		مصدر	انصب		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انصباب-انصباب [ص ب ب] (مص. انصب). 1.""الانصباب على الع"
1411	انضمام		ضمم		مصدر	انضم		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انضمام-انضمام [ض م م ] (مص. انضم). ""يرغب في الانضمام إلى الحزب"" : في الدخول إليه، الالتحاق به، الانضواء."
1412	انصات		نصت		مصدر	أنصت		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انصات-انصات [ن ص ت] (مص. أنصت). ""الإنصات للمتحدث"" : الاستماع إليه بانتباه."
1413	انصداع		صدع		مصدر	انصدع		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انصداع-انصداع [ص د ع] (مص. انصدع). 1.""انصداع الإناء"" : انشقا"
1414	انصراف		صرف		مصدر	انصرف		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انصراف-انصراف [ص ر ف] (مص. انصرف). 1.""انصراف الوقت المحدد"" : مروره. 2.""انصراف كل العاملين"" : ذهابهم، مغادرتهم. ""هموا بالانصراف""."
1415	انصرام		صرم		مصدر	انصرم		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انصرام-انصرام [ص ر م] (مص. انصرم). 1.""انصرام الأيام"": انقضاؤها، مرورها. 2.""انصرام حبل"" : انقطاعه."
1416	إنصاف		نصف		مصدر	أنصف		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إنصاف-إنصاف [ن ص ف] (مص. أنصف). ""إنصاف المظلوم"" : استيفاؤه حقه، أي إزالة الظلم عنه."
1417	انصهار		صهر		مصدر	انصهر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انصهار-انصهار [ص هـ ر] (مص. انصهر). 1.""انصهار معدن"" (كيما): تحويل مادته من الحالة الصلبة إلى حال"
1418	انضباط		ضبط		مصدر	انضبط		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انضباط-انضباط [ض ب ط] (مص. انضبط). ""الانضباط للقانون أمر هام"" : خضوعك للقانون، امتثالك. ""القانون الأساسي في المعسكر هو الانضباط العسكري""."
1419	إنضاج		نضج		مصدر	أنضج		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إنضاج-إنضاج [ن ض ج] (مص. أنضج). ""ساعدت المواد الكيميائية على إنضاج الثمر"" : على جعله ناضجا طيب الأكل. ""إنضاج اللحم""."
1420	انضفار		ضفر		مصدر	انضفر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انضفار-انضفار [ض ف ر] (مص. انضفر). 1.""انضفار الشعر"": التواؤه ضفائر. 2.""انضفار الحبلين"" : التواؤهما بشكل منتظم."
1421	إنظام		نظم		مصدر	أنظم		مذكر			مفرد	+ات;أناظيم			DnN	Pf			Tn	R								"(مص. أنظم). 1.""إنظام السمكة"" : خيط منظوم بيضا في بطن السمكة. 2.: كل خيط نظم خرزا، عقيقا."
1422	انضواء		ضوي		مصدر	انضوى		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"انضواء-انضواء [ض و ي] (مص. انضوى). ""انضواء الجيش تحت لوائه"" : انضمامه، التحاقه به ليصير تحت لوائه."
1423	انطباع		طبع		مصدر	انطبع		مذكر			مفرد	+ات			DnN	Pf			Tn	Rp								"انطباع-انطباع [ط ب ع] (مص. انطبع). 1.""انطباع كتاب"": طبعه. 2.""خلف لديه انطباعا خاصا"" : إدراكا، إحساسا."
1424	انطباق		طبق		مصدر	انطبق		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انطباق-انطباق [ط ب ق] (مص. انطبق). ""تأكد من انطباق كل الأوصاف عليه"" : كونها مطابقة، موافقة لأوصافه."
1425	انتطاح		نطح		مصدر	أنطح		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انتطاح-انتطاح [ن ط ح] (مص. أنطح). ""انتطاح الكبشين"": نطح كل منهما الآخر."
1426	انطفاء		طفأ		مصدر	انطفأ		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"انطفاء-انطفاء [ط ف أ] (مص. انطفأ). 1.""انطفاء النار"": خمودها، خفوتها. 2.""انطفاء شعلته"" : انتهاؤها."
1427	انطلاق		طلق		مصدر	انطلق		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انطلاق-انطلاق [ط ل ق] (مص. انطلق). 1.""انطلاق الألعاب"" : بدؤها. 2.""انطلاق المدافع"" : انقذافها بما تملك من قوة مختزنة بداخلها. 3.""انطلاق القطار"" : ذهابه باندفاع. ""نقطة الانطلاق""."
1428	انطلاء		طلي		مصدر	انطلى		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"انطلاء-انطلاء [ط ل ي] (مص. انطلى). ""انطلاء الحيلة عليه"": انخداعه وعدم تنبهه."
1429	انطماس		طمس		مصدر	انطمس		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انطماس-انطماس [ط م س] (مص. انطمس). ""انطماس الأثر"": امحاؤه."
1430	انطواء		طوي		مصدر	انطوى		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"انطواء-انطواء [ط و ي] (مص. انطوى). ""انطواء النفس"": انكماشها على ذاتها."
1431	انعكاس		عكس		مصدر	انعكس		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"(مص. انعكس). 1.""انعكاس الضوء"" : ارتداده على سطح صقيل بحيث تساوي زاوية الانعكاس زاوية السقوط. 2.""زاوية الانعكاس"" (فيز) : وهي الواقعة بين الشعاع المرتد والخط العمودي. 3.""حدث انعكاس خطير على حياته"" : ارتداد، أثر، انقلاب. ""ستحدث هذه الواقعة انعكاسات هامة على حياته""."
1432	أناظيم		نظم		مصدر	 أنظم		مؤنث			جمع		إنظام														Non	
1433	انعتاق		عتق		مصدر	انعتق		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"انعتاق-انعتاق [ع ت ق] (مص. انعتق). ""الانعتاق من العبودية"" : التحرر منها."
