#رقم	الكلمة	غير مشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنثه	مذكره	عدد	الجمع	مفرده	تأنيث	تثنية	ج. مؤ.س.	ج, مذ, س,	منقوص	تنوين نصب	نسب	إض, لف,	ـو	نكرة	معرف	غ. عاقل	عاقل	تنون النصب للجمع	شرح
26	نجاء		نجو		اسم المرة	نجا		مؤنث			جمع		نجوة						Tn									
27	ندوة		ندو		اسم المرة	ندا		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"ندوة-ندوة [ن د و] (اسم المرة من ندا). 1.""ندوة الجماعة"" : اجتماعهم. 2.""دار الندوة"" : الدار التي يجتمع فيها القوم. 3.""شارك في ندوة علمية"" : في لقاء، في مجتمع للمحاورة العلمية. ""ندوة ثقافية"". 4.""ندوة دولية"" : مؤتمر يجتمع فيه نخبة من العلماء أو الخبراء. 5. ""ندوة صحفية "" : لقاء بين صحفيين وشخصية مسؤولة للتحدث والاستفسار عن موضوع ما."
28	مآب		أوب		مصدر	آب		مذكر			مفرد	+ات;مآوب			DnN	Pf			Tn	R								"(مص. آب). 1.""مآبه إلى الله"" : أي توبته إلى الله وإليه مرجعه، مكان الرجوع.ص آية 25 وإن له عندنا لزلفى وحسن مآب (قرآن). 2.""بينهما ثلاثة مآوب"" : ثلاث رحل في النهار."
29	مآوب		أوب		مصدر	آب		مؤنث			جمع		مآب														Non	
30	أوب		أوب		مصدر	آب		مذكر			مفرد								Tn	R								"أوب-أوب [أ و ب] (مص. آب). 1.""جاءوا من كل أوب وصوب"" : من كل جهة، ناحية، وجه. 2.""كان أوبه ميمونا"": رجوعه."
31	إياب		أوب		مصدر	آب		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إياب-إياب [أ و ب] (مص. آب). 1.""أخذ تذكرة ذهابا وإيابا"" : ذهابا ورجوعا. 2.""إلى الله الإياب"" : إليه التوبة والرجوع."
32	إباتة		بيت		مصدر	أبات		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"إباتة-إباتة [ب ي ت] (مص. أبات). ""إباتة الضيف"" : جعله يبيت."
33	إباحة		بوح		مصدر	أباح		مؤنث			مفرد	+ات			DnN	Pf			Tn	Rp								"إباحة-إباحة [ب و ح] (مص. أباح). ""إباحة ما هو محظور"": إجازته والسماح به."
34	إبادة		بيد		مصدر	أباد		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"إبادة-إبادة [ب ي د] (مص. أباد). 1.""عرف التاريخ حروب إبادة"": أي حروب تدمير وفتك. 2.""استعملت مواد سامة لإبادة الجراد الذي ظهر فجأة"" : للقضاء عليه، لسحقه."
35	إبانة		بين		مصدر	أبان		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"إبانة-إبانة [ب ي ن] (مص. أبان). ""التزم بالإبانة عن آرائه وأفكاره وأهدافه"" : بإظهارها والكشف عنها، بإيضاحها وتوضيحها."
36	أبوة		أبو		مصدر	أبا;يأبو		مؤنث			مفرد	+ات			DnN	Pf			Tn	Rp								"أبوة-أبوة [ أ ب و] (مص. أبا، يأبو). 1.""يمتاز بأبوة رقيقة"": صفة الأب. 2.""عرفت تلك العائلة بأبوة مثالية"": الرابطة الطبيعية أو الشرعية بين الأب والأولاد."
37	ابتئاس		بأس		مصدر	ابتأس		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"ابتئاس-ابتئاس [ب أ س] (مص. ابتأس). ""وجده في ابتئاس"": في حزن وغم وسوء حال."
38	ابتياع		بىع		مصدر	ابتاع		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"ابتياع-ابتياع [ب ى ع] (مص. ابتاع). ""ذهب لابتياع ما يحتاجه من المتجر"" : لشراء."
39	ابتداء		بدأ		مصدر	ابتدأ		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"ابتداء-ابتداء [ب د أ] (مص. ابتدأ). ""ابتداء العمل"" : بدؤه والشروع فيه."
40	ابتداع		بدع		مصدر	ابتدع		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"ابتداع-ابتداع [ب د ع] (مص. ابتدع). ""ابتداع أساليب جديدة"" : إنشاؤها على غير مثال سابق. ""تفننوا في ابتداع أساليب الوقاية من الغارات"" (حنا مينه)."
41	ابتذال		بذل		مصدر	ابتذل		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"ابتذال-ابتذال [ب ذ ل] (مص. ابتذل). ""عرض نفسه للابتذال"" : لعدم الحرمة والاحتشام، كون الشيء مبتذلا."
42	ابتزاز		بزز		مصدر	ابتز		مذكر			مفرد	+ات			DnN	Pf			Tn	Rp								"ابتزاز-ابتزاز [ب ز ز] (مص. ابتز). ""إياك "
43	ابتسام		بسم		مصدر	ابتسم		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"ابتسام-ابتسام [ب س م] (مص. ابتسم). ""كان ابتسامه ع"
44	ابتعاد		بعد		مصدر	ابتعد		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"ابتعاد-ابتعاد [ب ع د] (مص. ابتعد). 1.""الابتعاد عن المكاره والمخاطر"" : عدم الاقتراب منها. 2.""الابتعاد عن الأهل"" : مفارقتهم. 3.""الابتعاد عن الدار"" : البعد عنها."
45	ابتغاء		بغي		مصدر	ابتغى		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"ابتغاء-ابتغاء [ب غ ي] (مص. ابتغى). ""ابتغاء الخير"" : طلبه والرغبة فيه."
46	ابتكار		بكر		مصدر	ابتكر		مذكر			مفرد	+ات			DnN	Pf			Tn	Rp								"(مص. ابتكر). 1.""أعلن عن ابتكار جديد"" : عن اختراع، ابتداع. ""يعج المعرض الدولي بابتكا"
47	ابتلاع		بلع		مصدر	ابتلع		مذكر			مفرد	+ات			DnN	Pf			Tn	R								ابتلاع-ابتلاع [ب ل ع] (مص. ابت
48	ابتلاء		بلي		مصدر	ابتلى		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"ابتلاء-ابتلاء [ب ل ي ] (مص. ابتلى). ""ابتلاء الإنسان"" : اختباره."
49	ابتناء		بني		مصدر	ابتنى		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								ابتناء-ابتناء [ب ن ي] (مص. ابتنى).
50	ابتهاج		بهج		مصدر	ابتهج		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"ابتهاج-ابتهاج [ب هـ ج] (مص. ابتهج). ""عم الابتهاج الحفل"" : الفرح، السرور."
51	ابتهال		بهل		مصدر	ابتهل		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"ابتهال-ابتهال [ب هـ ل] (مص. ابتهل). ""وقفوا في خشوع وابتهال"" : في تضرع."
52	إبحار		بحر		مصدر	أبحر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إبحار-إبحار [ب ح ر] (مص. أبحر). 1.""قرر الإبحار"": ركوب البحر. 2.""إبحار السفينة"" : إقلاعها بدخولها البحر."
53	تأبيد		أبد		مصدر	أبد		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تأبيد-تأبيد [أ ب د] . (مص. أبد). ""تأبيد أعمال الإنسان"" : تخليدها."
54	أبد		أبد		مصدر	أبد		مذكر			مفرد	آباد			DnN				Tn	Rp								"ج: آباد. (مص. أبد). 1.""سيبقى هذا الأثر أبد الآبدين"" : سيظل قائما أزليا. ""أبد الدهر"" ""الدنيا أمد والآخرة أبد"". (أبو عبد الرحمان الخليل). 2.""سأحتفظ بذكراك إلى الأبد"" : على الدوام، دائما."
55	آباد		أبد		مصدر	أبد		مؤنث			جمع		أبد						Tn									
56	إبداع		بدع		مصدر	أبدع		مذكر			مفرد	+ات			DnN	Pf			Tn	Rp								"إبداع-إبداع [ب دع] (مص. أبدع). ""فن فيه إبداع"" : الإتيان بشيء لا نظير له، فيه جودة وإتقان، خلق ."
57	إبدال		بدل		مصدر	أبدل		مؤنث			جمع	+ات	إبداع		DnN	Pf			Tn	R								
58	إبداء		بدو		مصدر	أبدى		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"إبداء-إبداء [ب د و] (مص. أبدى). 1.""إبداء الشجاعة"" : إظهارها. 2.""إبداء الرأي"" : التعبير عنه."
59	إبرار		برر		مصدر	أبر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إبرار-إبرار [ب ر ر] (مص. أبر). 1.""الإبرار إلى بلاد الغرب"" : السفر إليها عن طريق البر. 2."
60	إبراح		برح		مصدر	أبرح		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إبراح-إبراح [ب رح] (مص. أبرح). 1.""كان الإبراح به انتقاما"" : الإلحاح عليه بالأذى والمشقة. 2.""الإبراح عن المكان"" : الانزياح عنه."
61	إبراز		برز		مصدر	أبرز		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إبراز-إبراز [ب ر ز] (مص. أبرز). ""طلب منه إبراز ما يخبئ"" : أ"
62	إبراق		برق		مصدر	أبرق		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إبراق-إبراق [ب رق] (مص. أبرق). 1.""إبراق السماء"": إتيانها ب"
63	إبرام		برم		مصدر	أبرم		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إبرام-إبرام [ب ر م] (مص. أبرم). 1.""إبرام الحبل"" : فتله، أي جعله طاقين. 2.""اتفقوا على إبرام اتفاقية جديدة"" : عقدها، إحكامها."
64	إبصار		بصر		مصدر	أبصر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إبصار-إبصار [ب ص ر] (مص. أبصر). ""قوة الإبصار"" : قوة النظر، الرؤية."
65	إبطاء		بطأ		مصدر	أبطأ		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"إبطاء-إبطاء [ب ط أ] (مص. أبطأ). 1.""كانت القافلة تسير في إبطاء شديد"" : تسير على م"
66	إبطال		بطل		مصدر	أبطل		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إبطال-إبطال [ب ط ل] (مص. أبطل). ""إبطال الحكم السابق"" : إلغاؤه، أي جعله غير نافذ لا مفعول له."
67	إبعاد		بعد		مصدر	أبعد		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إبعاد-إبعاد [ب ع د] (مص. أبعد). 1.""تقرر إبعاده عن ا"
68	إبغاض		بغض		مصدر	أبغض		مذكر			مفرد	+ات			DnN	Pf			Tn	R								إبغاض-إبغاض [ب غ ض] (مص. أبغض).
69	إبغاء		بغي		مصدر	أبغى		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"إبغاء-إبغاء [ب غ ي] (مص. أبغى). 1.""إبغاء الشي"
70	إبقاء		بقي		مصدر	أبقى		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"إبقاء-إبقاء [ب ق ي] (مص. أبقى). ""قرر إبقاءه في منصبه"" : إ"
71	إبكار		بكر		مصدر	أبكر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إبكار-إبكار [ب ك ر] (مص. أبكر). ""ألف الإبكار إلى العمل"
72	إبكاء		بكي		مصدر	أبكى		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"إبكاء-إبكاء [ب ك ي] (مص. أبكى). ""لم يكن إبكاؤه"
73	إبلاج		بلج		مصدر	أبلج		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إبلاج-إبلاج [ب ل ج] (مص. أبلج). 1.""إبلاج الصبح"" : إشراقه، إضاءته. 2.""إبلاج الحق"" : ظهوره."
74	إبلاغ		بلغ		مصدر	أبلغ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إبلاغ-إبلاغ [ب ل غ] (مص. أبلغ). 1.""قرر الإبلاغ بالحادث"" : "
75	إبلاء		بلي		مصدر	أبلى		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"إبلاء-إبلاء [ب ل ي] (مص. أبلى). 1.""إبلاء الثوب"": تصيير"
76	تأبين		أبن		مصدر	أبن		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تأبين-تأبين [أ ب ن] (مص. أبن). ""أقيمت حفلة تأبين في الذكرى الأربعينية"" : حفلة لذكر مآثر الميت ومحاسنه والثناء عليه."
77	إبهاج		بهج		مصدر	أبهج		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إبهاج-إبهاج [ب هـ ج] (مص. أبهج). 1.""حاول إبهاجه"": إفراحه، إدخال السرور عليه. 2.""وجد في الحفل إبهاجا"" : بهجة، مسرة. 3. ""إبهاج الأرض"" : حسن نباتها."
78	إبهار		بهر		مصدر	أبهر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إبهار-إبهار [ب هـ ر] (مص. أبهر). 1.""سعى إلى إبهاره"": إلى إدهاشه وإثارة إعجابه. 2.""إبهار الضوء"" : قوة نوره ولمعانه. ""إبهار الضوء أفقده البصر""."
79	إبهاظ		بهظ		مصدر	أبهظ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إبهاظ-إبهاظ [ب هـ ظ] (مص. أبهظ). ""ناء تحت إبهاظ الحمل أو الدين"" : مشقته وثقله."
80	إبهام		إبهام		مصدر	أبهم		مذكر			مفرد	+ات;أباهيم			DnN	Pf			Tn	R								"ج: أباهيم. (مذ، مؤ) (مص. أبهم). 1.""في كلامه إبهام"" : تعمية والتباس وغموض. 2. ""أصابع الي"
81	أباهيم		إبهام		مصدر	أبهم		مؤنث			جمع		إبهام														Non	
82	إبهاء		بهي		مصدر	أبهى		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"إبهاء-إبهاء [ب هـ ي] (مص. أبهى). ""إبهاء الوجه"" : حسنه، جماله."
83	إباء		أبي		مصدر	أبى		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"إباء-إباء [أ ب ي] (مص. أبى). ""هو معروف بإبائه"" : معروف بعزة نفسه وأنفته وكبريائه. ""نظرة جامدة تنطق إباء"". (ن. محفوظ)."
84	ابيضاض		بيض		مصدر	ابيض		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"ابيضاض-ابيضاض [ب ي ض] (مص. ابيض). 1.""ابيضاض الوجه"" : صيره أبيض. 2. ""ابيضاض الشعر"" : شيبه. 3.""ابيضاض الجبال بالثلج"" : نصوع بياضها."
85	إتاحة		تيح		مصدر	أتاح		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								إتاحة-إتاحة [ت ي ح] (مص. أتاح
86	اتئاد		وأد		مصدر	اتأد		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اتئاد-اتئاد [و أ د] (مص. اتأد). ""اتئاد خطواته"" : سيره في تأن وتمهل."
87	إ‏تباع		تبع		مصدر	أتبع		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إ‏تباع-إ‏تباع [ت ب ع] (مص. أتبع). 1.""حاول إتباع خطواته"" : ال"
88	اتباع		تبع		مصدر	اتبع		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اتـباع-اتـباع [ت ب ع] (مص. اتبع). 1.""سعى إلى اتباع خطواته"" : اقتف"
89	إتجار		تجر		مصدر	أتجر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إتجار-إتجار [ت ج ر] (مص. أتجر). ""الإتجار في مختلف المواد"": تعاطي تجارتها."
90	اتجار		تجر		مصدر	اتجر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اتجار-اتجار [ت ج ر] (مص. اتجر). ""يفكر في الاتجار"": في تعاطي التجارة."
91	اتجاه		وجه		مصدر	اتجه		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اتجاه-اتجاه [و ج هـ] (مص. اتجه). 1.""مشى في اتجاه معاكس"" : في وجهة معاكسة. 2.""شارع له اتجاه وحيد"" : ممر وحيد. 3.""اختارت اتجاها علميا يناسبها"" : مسارا. 4.""له اتجاه سياسي معروف"" : ميل، استجابة لموقف. ""اتجاهات مختلفة""."
92	اتحاد		أحد،وحد		مصدر	اتحد		مذكر			مفرد	+ات			DnN	Pf			Tn	Rp								"(مص. اتحد). 1.""في اتحادكم قوة"" : في اجتماعكم لهدف واحد وغاية موحدة . 2.""كان اتحاد آرائهم بداية لمرحلة جديدة"" : اتفاقهم. 3.""الاتحاد الوطني"" : أي إجماع القوى الوطنية على برنامج واحد وأهداف واحدة لغاية معينة."
93	إتحاف		تحف		مصدر	أتحف		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إتـحاف-إتـحاف [ت ح ف] (مص. أتحف). ""جاء لإتحاف مسامعهم بأغنية جيدة"" : لإطرابهم."
94	اتخاذ		أخذ		مصدر	اتخذ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اتخاذ-اتخاذ [ أ خ ذ] . (مص. اتخذ). 1.""من الصعب اتخاذه صديقا"" : جعله، تصييره صديقا. 2.""ينبغي اتخاذ الإجراءات اللازمة"" : اعتماد..."
95	إتخام		تخم		مصدر	أتخم		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إتخام-إتخام [ت خ م] (مص. أتخم). ""أكل حتى الإتخام"": إلى درجة إيقاعه في التخمة."
96	إتراح		ترح		مصدر	أترح		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إتراح-إتراح [ت ر ح] (مص. أترح). ""تعمد إتراحه بأخبار السوء"": إحزانه."
97	إتراع		ترع		مصدر	أترع		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إتراع-إتراع [ت رع] (مص. أترع). 1.""إتراع الإناء"" : ملؤه. 2.""إتراع القلب بالأحزان"" : شحنه."
98	إتراف		ترف		مصدر	أترف		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إتراف-إتراف [ت رف] (مص. أترف). ""يعيش في إتراف"": في بغي وفساد ."
99	اتزان		وزن		مصدر	اتزن		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اتزان-اتزان [و ز ن] (مص. اتزن). 1.""اتزان كفتي الميزان"": تعادلهما 2.""كان مثال الاتزان والكمال"" : مثال الرزانة."
100	اتساخ		وسخ		مصدر	اتسخ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								اتساخ-اتساخ [و س خ] (مص. اتسخ).
101	اتساع		وسع		مصدر	اتسع		مذكر			مفرد	+ات			DnN	Pf			Tn	Rp								"اتساع-اتساع [و س ع] (مص. اتسع). 1.""اتساع البيت"": كونه واسعا. 2.""اتساع معارفه"" : ذات سعة وشمول. 3.""لاحظ اتساع عينيه من الدهشة"" : بروزهما وتغير شكلهما."
102	اتساق		وسق		مصدر	اتسق		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اتساق-اتساق [و س ق ] (مص. اتسق). 1.""ساعد على اتساق أموره"" : انتظامها، استواؤها. 2.""اتساق القمر"" : كماله. ""أثار اتساق جمالها إعجابه ""."
103	اتسام		وسم		مصدر	اتسم		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اتسام-اتسام [و س م] (مص. اتسم). ""كان اتسامه بالمروءة محل تقدير"" : اصطباغه، تميزه."
104	اتشاح		وشح		مصدر	اتشح		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اتشاح-اتشاح [و ش ح] (مص. اتشح). ""كان اتشاحه"
105	اتصاف		وصف		مصدر	اتصف		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اتصاف-اتصاف [و ص ف] (مص. اتصف). ""أهله اتصافه بأخلاق عالية ليتقلد المسؤولية"" : تحليه."
106	اتصال		وصل		مصدر	اتصل		مذكر			مفرد	+ات			DnN	Pf			Tn	Rp								"اتصال-اتصال [وص ل] (مص. اتصل). 1.""قرر الاتصال به مباشرة"": الالتقاء به، الاتصال المباشر. 2.""جعلوا نقطة الاتصال في..."" : نقطة الملتقى، الوصل. 3.""كان على اتصال دائم به"" : دائم اللقاء به. 4.""اتصال رسمي"" : لقاء. ""اتصال غير رسمي"". 5.""أراد الاتصال به هاتفيا"" : أي التحدث معه هاتفيا. 6.""وسائل الاتصال بين الن"
107	اتضاح		وضح		مصدر	اتضح		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اتضاح-اتضاح [و ض ح ] (مص. اتضح). ""اتضاح الحقيقة"": انكشافها، انجلاؤها للعيان."
